"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M"
"0500000US16027","Canyon County, Idaho","74520","1350","70667","1719","59782","2229","3656","1305","64197","2402","5531","1285","51562","2383","695","419","1646","665","0","204","3853","828","65991","1911","143","138","65848","1926","59404","2334","10643","2045","49416","2619","8126","1335","8529","1311","9278","1148","74","86","5844","1035","3360","902","43693","2421","69","108","39274","2532","4350","1019","21549","2223","0","204","20730","2309","819","404","(X)","(X)","94.8","1.1","80.2","2.6","4.9","1.8","86.1","2.4","7.4","1.7","69.2","2.8","0.9","0.6","2.2","0.9","0.0","0.2","5.2","1.1","88.6","1.8","0.2","0.2","88.4","1.8","79.7","2.6","14.3","2.7","66.3","3.2","10.9","1.8","11.4","1.8","(X)","(X)","0.8","0.9","63.0","8.4","36.2","8.4","(X)","(X)","0.2","0.3","89.9","2.4","10.0","2.3","(X)","(X)","0.0","0.8","96.2","2.0","3.8","2.0"
"0500000US16055","Kootenai County, Idaho","64955","1328","59065","1833","50074","2241","2897","901","54274","1821","5378","1411","40383","2212","690","462","1367","553","78","134","5890","1234","55039","1839","159","175","54880","1821","49263","1870","9175","1521","40411","2175","5808","1375","9916","1506","9592","1631","0","204","6266","1508","3326","1002","32869","2667","133","166","26868","2487","5868","1286","22494","2082","26","49","21746","2029","722","386","(X)","(X)","90.9","1.9","77.1","3.3","4.5","1.4","83.6","2.0","8.3","2.2","62.2","3.1","1.1","0.7","2.1","0.8","0.1","0.2","9.1","1.9","84.7","2.3","0.2","0.3","84.5","2.3","75.8","2.6","14.1","2.3","62.2","3.1","8.9","2.1","15.3","2.3","(X)","(X)","0.0","1.8","65.3","9.7","34.7","9.7","(X)","(X)","0.4","0.5","81.7","3.6","17.9","3.6","(X)","(X)","0.1","0.2","96.7","1.7","3.2","1.7"
"0500000US16083","Twin Falls County, Idaho","32041","930","29162","1364","24127","1482","756","434","26303","1411","3216","857","19239","1609","525","484","446","318","0","204","2879","1038","27175","1602","137","246","27038","1618","22947","1618","3721","1023","19819","1715","4434","1069","4866","1343","5416","1210","137","246","3232","945","2047","723","17310","1552","0","204","14914","1700","2396","930","9315","1077","0","204","8892","1111","423","310","(X)","(X)","91.0","3.2","75.3","4.0","2.4","1.4","82.1","4.0","10.0","2.7","60.0","4.7","1.6","1.5","1.4","1.0","0.0","0.5","9.0","3.2","84.8","4.2","0.4","0.8","84.4","4.2","71.6","4.7","11.6","3.1","61.9","4.9","13.8","3.4","15.2","4.2","(X)","(X)","2.5","4.6","59.7","11.0","37.8","10.4","(X)","(X)","0.0","1.0","86.2","5.4","13.8","5.4","(X)","(X)","0.0","1.8","95.5","3.4","4.5","3.4"
"0500000US17001","Adams County, Illinois","26397","972","23013","1123","19217","1259","1349","559","20582","1195","1865","589","15529","1231","517","276","613","345","75","123","3384","837","21749","1126","18","30","21731","1128","17880","1237","3189","772","16335","1147","2997","705","4648","809","4337","920","0","190","1927","602","2410","670","12729","1012","18","30","10883","1053","1828","503","9331","1081","0","190","8921","1080","410","244","(X)","(X)","87.2","3.1","72.8","4.0","5.1","2.1","78.0","3.4","7.1","2.2","58.8","4.3","2.0","1.1","2.3","1.3","0.3","0.5","12.8","3.1","82.4","3.0","0.1","0.1","82.3","3.0","67.7","4.0","12.1","2.8","61.9","4.0","11.4","2.6","17.6","3.0","(X)","(X)","0.0","3.4","44.4","10.1","55.6","10.1","(X)","(X)","0.1","0.2","85.5","3.9","14.4","3.9","(X)","(X)","0.0","1.6","95.6","2.6","4.4","2.6"
"0500000US17019","Champaign County, Illinois","84290","2237","78733","2535","68871","2943","3231","857","73163","2660","5074","1355","54108","2539","1038","641","1665","724","0","190","5557","1217","71242","2469","318","184","70924","2464","66623","2567","8317","1386","57475","3046","6330","1284","13048","1723","18591","2428","25","43","13569","2032","4997","1210","36354","2574","200","161","29685","2399","6469","1263","29345","2005","93","145","27670","1941","1582","653","(X)","(X)","93.4","1.5","81.7","2.3","3.8","1.0","86.8","1.9","6.0","1.6","64.2","2.6","1.2","0.8","2.0","0.9","0.0","0.2","6.6","1.5","84.5","2.0","0.4","0.2","84.1","2.0","79.0","2.3","9.9","1.7","68.2","2.9","7.5","1.5","15.5","2.0","(X)","(X)","0.1","0.2","73.0","5.5","26.9","5.5","(X)","(X)","0.6","0.4","81.7","3.3","17.8","3.2","(X)","(X)","0.3","0.5","94.3","2.1","5.4","2.2"
"0500000US17031","Cook County, Illinois","1981796","8626","1807902","10582","1525026","9984","63845","3888","1693495","11418","183608","8084","1201232","12527","14344","1726","66980","5135","595","287","173894","6462","1673146","10958","4451","1091","1668695","11060","1503643","12569","231803","8475","1385170","10460","116232","4865","308650","7865","302930","8637","1095","505","187240","7000","114595","5794","822587","11635","2443","771","671301","11713","148843","6086","856279","11227","913","460","810154","10900","45212","3398","(X)","(X)","91.2","0.3","77.0","0.4","3.2","0.2","85.5","0.4","9.3","0.4","60.6","0.6","0.7","0.1","3.4","0.3","0.0","0.1","8.8","0.3","84.4","0.4","0.2","0.1","84.2","0.4","75.9","0.5","11.7","0.4","69.9","0.4","5.9","0.2","15.6","0.4","(X)","(X)","0.4","0.2","61.8","1.6","37.8","1.5","(X)","(X)","0.3","0.1","81.6","0.7","18.1","0.7","(X)","(X)","0.1","0.1","94.6","0.4","5.3","0.4"
"0500000US17037","DeKalb County, Illinois","38849","1227","37110","1331","32817","1423","1041","440","34495","1444","2721","812","26954","1575","438","293","740","363","0","190","1739","499","35144","1548","124","145","35020","1553","32219","1619","4210","1011","29274","1816","2711","671","3705","995","5976","1239","0","190","4845","1227","1131","561","17409","1811","124","145","15231","1679","2054","752","15464","1426","0","190","14944","1383","520","325","(X)","(X)","95.5","1.3","84.5","2.7","2.7","1.2","88.8","2.2","7.0","2.0","69.4","3.6","1.1","0.7","1.9","0.9","0.0","0.4","4.5","1.3","90.5","2.6","0.3","0.4","90.1","2.5","82.9","3.0","10.8","2.6","75.4","3.7","7.0","1.7","9.5","2.6","(X)","(X)","0.0","2.5","81.1","9.2","18.9","9.2","(X)","(X)","0.7","0.8","87.5","4.0","11.8","4.0","(X)","(X)","0.0","1.0","96.6","2.0","3.4","2.0"
"0500000US17043","DuPage County, Illinois","345714","2259","328790","2679","299943","3761","10789","1286","308355","3099","15008","2265","255945","3496","2191","592","10129","1329","0","190","16924","1899","318438","3281","649","297","317789","3233","295068","3568","28027","2294","283367","3647","18290","1953","27276","2628","28115","2518","290","223","19920","2160","7905","1364","109342","3588","273","168","96211","3776","12858","1751","208257","3654","86","99","201658","3457","6513","1337","(X)","(X)","95.1","0.5","86.8","0.9","3.1","0.4","89.2","0.6","4.3","0.7","74.0","1.0","0.6","0.2","2.9","0.4","0.0","0.1","4.9","0.5","92.1","0.8","0.2","0.1","91.9","0.8","85.4","0.8","8.1","0.7","82.0","1.0","5.3","0.6","7.9","0.8","(X)","(X)","1.0","0.8","70.9","4.2","28.1","4.2","(X)","(X)","0.2","0.2","88.0","1.6","11.8","1.6","(X)","(X)","0.0","0.1","96.8","0.6","3.1","0.6"
"0500000US17089","Kane County, Illinois","183633","1334","172564","1988","149458","2911","6927","1413","161409","2483","14315","2212","124815","2943","969","408","3915","937","155","185","11069","1532","163626","2444","523","411","163103","2402","151405","2940","16321","2249","140208","3573","14460","2177","20007","2242","15982","2131","396","394","10461","1672","5125","1390","71139","3139","50","64","59233","3299","11856","2010","96512","2841","77","127","93409","2761","3026","986","(X)","(X)","94.0","0.8","81.4","1.6","3.8","0.8","87.9","1.2","7.8","1.2","68.0","1.6","0.5","0.2","2.1","0.5","0.1","0.1","6.0","0.8","89.1","1.2","0.3","0.2","88.8","1.2","82.4","1.5","8.9","1.2","76.4","1.9","7.9","1.2","10.9","1.2","(X)","(X)","2.5","2.4","65.5","7.0","32.1","7.1","(X)","(X)","0.1","0.1","83.3","2.7","16.7","2.7","(X)","(X)","0.1","0.1","96.8","1.0","3.1","1.0"
"0500000US17091","Kankakee County, Illinois","40642","1411","36080","1470","29621","1410","2203","640","32295","1478","3613","861","24732","1651","706","378","176","130","0","190","4562","927","32304","1691","129","148","32175","1662","29492","1590","3557","758","25738","1616","4413","826","8338","1367","7223","1105","0","190","3685","800","3538","989","18810","1448","74","119","14880","1338","3856","761","14609","1666","55","91","13610","1627","944","510","(X)","(X)","88.8","2.2","72.9","2.9","5.4","1.5","79.5","2.7","8.9","2.1","60.9","3.6","1.7","0.9","0.4","0.3","0.0","0.4","11.2","2.2","79.5","3.3","0.3","0.4","79.2","3.2","72.6","3.3","8.8","1.8","63.3","3.3","10.9","2.0","20.5","3.3","(X)","(X)","0.0","2.1","51.0","10.1","49.0","10.1","(X)","(X)","0.4","0.6","79.1","3.7","20.5","3.7","(X)","(X)","0.4","0.6","93.2","3.4","6.5","3.4"
"0500000US17093","Kendall County, Illinois","40716","1134","39158","1295","36472","1595","974","635","37275","1531","1582","901","32910","1737","213","261","869","516","0","190","1558","839","37370","1575","23","29","37347","1580","33981","1898","1788","775","33675","1897","4010","1223","3346","1089","2636","1117","0","190","1121","654","1515","918","12206","1803","11","18","10936","1794","1259","653","25874","2049","12","22","25290","2019","572","455","(X)","(X)","96.2","2.0","89.6","2.9","2.4","1.6","91.5","3.0","3.9","2.2","80.8","3.8","0.5","0.6","2.1","1.3","0.0","0.4","3.8","2.0","91.8","2.7","0.1","0.1","91.7","2.7","83.5","3.8","4.4","1.9","82.7","3.8","9.8","3.0","8.2","2.7","(X)","(X)","0.0","5.5","42.5","21.9","57.5","21.9","(X)","(X)","0.1","0.1","89.6","5.2","10.3","5.3","(X)","(X)","0.0","0.1","97.7","1.8","2.2","1.7"
"0500000US17097","Lake County, Illinois","246620","2599","234195","2959","209691","3680","10185","1376","218789","3219","13013","1818","180100","3506","1345","449","6640","1007","0","190","12425","1559","225267","3115","772","406","224495","3114","207996","3226","21545","2159","195699","3903","15030","1731","21353","2163","24304","2323","199","171","17690","2131","6415","1212","83335","3786","486","290","71832","3921","11017","1437","138981","4145","87","142","134973","4085","3921","945","(X)","(X)","95.0","0.6","85.0","1.2","4.1","0.6","88.7","0.9","5.3","0.7","73.0","1.3","0.5","0.2","2.7","0.4","0.0","0.1","5.0","0.6","91.3","0.9","0.3","0.2","91.0","0.9","84.3","1.0","8.7","0.9","79.4","1.4","6.1","0.7","8.7","0.9","(X)","(X)","0.8","0.7","72.8","4.6","26.4","4.6","(X)","(X)","0.6","0.3","86.2","1.8","13.2","1.8","(X)","(X)","0.1","0.1","97.1","0.7","2.8","0.7"
"0500000US17099","LaSalle County, Illinois","44714","1263","40209","1452","31234","1788","1820","525","37140","1527","5618","1202","25608","1603","405","239","638","330","0","190","4505","927","37964","1523","155","156","37809","1514","32813","1574","7059","1185","27559","1704","4265","871","6750","1139","6846","1237","0","190","4856","1090","1990","693","23007","1594","92","111","18790","1491","4125","864","14861","1481","63","106","14163","1494","635","322","(X)","(X)","89.9","2.0","69.9","3.4","4.1","1.2","83.1","2.6","12.6","2.7","57.3","3.3","0.9","0.5","1.4","0.7","0.0","0.3","10.1","2.0","84.9","2.5","0.3","0.3","84.6","2.4","73.4","3.1","15.8","2.7","61.6","3.3","9.5","1.9","15.1","2.5","(X)","(X)","0.0","2.2","70.9","8.9","29.1","8.9","(X)","(X)","0.4","0.5","81.7","3.4","17.9","3.5","(X)","(X)","0.4","0.7","95.3","2.3","4.3","2.2"
"0500000US17111","McHenry County, Illinois","114544","1268","109953","1460","97825","2053","4474","1043","101567","1581","4782","1244","86256","2230","1188","464","2429","729","0","190","4591","936","107290","1613","332","251","106958","1620","99071","1702","12077","1837","90100","2093","9519","1251","7254","1328","7999","1277","132","158","5492","1167","2375","788","43271","2635","99","102","39078","2641","4094","960","63274","2364","101","120","62388","2352","785","337","(X)","(X)","96.0","0.8","85.4","1.8","3.9","0.9","88.7","1.1","4.2","1.1","75.3","1.9","1.0","0.4","2.1","0.6","0.0","0.1","4.0","0.8","93.7","1.1","0.3","0.2","93.4","1.1","86.5","1.4","10.5","1.6","78.7","1.6","8.3","1.1","6.3","1.1","(X)","(X)","1.7","2.0","68.7","9.0","29.7","8.8","(X)","(X)","0.2","0.2","90.3","2.2","9.5","2.2","(X)","(X)","0.2","0.2","98.6","0.5","1.2","0.5"
"0500000US17113","McLean County, Illinois","65998","1534","62986","1642","56430","1772","1884","486","59641","1727","4178","1092","45262","1861","349","231","1326","458","0","190","3012","802","56108","1847","169","165","55939","1883","46439","2057","8355","1461","45726","2020","3205","681","9890","1613","11256","1689","0","190","5864","1388","5392","1376","25669","2032","169","165","21794","1995","3706","1060","29073","1593","0","190","28281","1550","792","507","(X)","(X)","95.4","1.2","85.5","2.0","2.9","0.7","90.4","1.4","6.3","1.6","68.6","2.6","0.5","0.3","2.0","0.7","0.0","0.2","4.6","1.2","85.0","2.4","0.3","0.3","84.8","2.4","70.4","2.8","12.7","2.2","69.3","3.0","4.9","1.0","15.0","2.4","(X)","(X)","0.0","1.3","52.1","9.8","47.9","9.8","(X)","(X)","0.7","0.6","84.9","4.1","14.4","4.0","(X)","(X)","0.0","0.5","97.3","1.7","2.7","1.7"
"0500000US17115","Macon County, Illinois","44562","1294","39157","1516","31124","1560","2545","713","35318","1554","4944","1007","24448","1543","422","268","1602","571","0","190","5405","943","36627","1583","26","30","36601","1584","31166","1712","6250","1149","28581","1869","2836","600","7935","1259","7702","1226","0","190","5294","1100","2408","711","22538","1528","26","30","17664","1617","4848","1019","14322","1359","0","190","13643","1282","679","317","(X)","(X)","87.9","2.1","69.8","2.9","5.7","1.6","79.3","2.4","11.1","2.2","54.9","3.1","0.9","0.6","3.6","1.3","0.0","0.3","12.1","2.1","82.2","2.8","0.1","0.1","82.1","2.8","69.9","3.6","14.0","2.6","64.1","3.7","6.4","1.3","17.8","2.8","(X)","(X)","0.0","1.9","68.7","8.2","31.3","8.2","(X)","(X)","0.1","0.1","78.4","4.4","21.5","4.4","(X)","(X)","0.0","1.0","95.3","2.1","4.7","2.1"
"0500000US17119","Madison County, Illinois","108977","2233","99224","2515","84137","2646","6470","1414","88599","2862","8190","1732","68900","3052","1085","617","2706","736","144","168","9753","1629","94909","2695","283","228","94626","2751","81229","2988","9584","1449","78546","2815","10208","1646","14068","1847","16828","2302","17","28","11504","2049","5307","1231","50235","2806","173","186","42739","2830","7323","1174","41914","2194","93","123","40383","2202","1438","689","(X)","(X)","91.1","1.5","77.2","2.2","5.9","1.3","81.3","2.0","7.5","1.6","63.2","2.6","1.0","0.6","2.5","0.7","0.1","0.2","8.9","1.5","87.1","1.7","0.3","0.2","86.8","1.7","74.5","2.3","8.8","1.3","72.1","2.0","9.4","1.5","12.9","1.7","(X)","(X)","0.1","0.2","68.4","6.6","31.5","6.6","(X)","(X)","0.3","0.4","85.1","2.4","14.6","2.3","(X)","(X)","0.2","0.3","96.3","1.7","3.4","1.6"
"0500000US17143","Peoria County, Illinois","71506","1717","64925","2017","51696","2209","2156","630","60531","2238","9581","1521","41118","2314","487","249","1386","415","0","190","6581","1156","59338","2084","190","155","59148","2114","44164","2417","8933","1367","48238","2151","4144","1014","12168","1589","13621","1696","12","20","7739","1116","5870","1245","32718","1932","151","150","28285","1797","4282","919","25167","1795","27","45","23124","1741","2016","798","(X)","(X)","90.8","1.6","72.3","2.7","3.0","0.9","84.7","1.9","13.4","2.1","57.5","2.9","0.7","0.4","1.9","0.6","0.0","0.2","9.2","1.6","83.0","2.2","0.3","0.2","82.7","2.2","61.8","2.8","12.5","1.8","67.5","2.7","5.8","1.4","17.0","2.2","(X)","(X)","0.1","0.1","56.8","6.2","43.1","6.2","(X)","(X)","0.5","0.5","86.5","2.6","13.1","2.6","(X)","(X)","0.1","0.2","91.9","3.1","8.0","3.0"
"0500000US17161","Rock Island County, Illinois","61009","1278","55189","1550","44953","1914","2332","612","50319","1792","6151","1173","35722","1602","836","408","1340","503","0","190","5820","1173","51244","1721","178","172","51066","1731","45995","1969","10054","1518","38582","1976","4360","871","9765","1527","9628","1616","56","94","5162","1071","4410","1044","30415","2016","73","121","26072","1988","4270","941","20966","1650","49","79","19832","1645","1085","526","(X)","(X)","90.5","1.9","73.7","2.8","3.8","1.0","82.5","2.4","10.1","1.9","58.6","2.4","1.4","0.7","2.2","0.8","0.0","0.2","9.5","1.9","84.0","2.4","0.3","0.3","83.7","2.5","75.4","2.9","16.5","2.4","63.2","3.2","7.1","1.4","16.0","2.4","(X)","(X)","0.6","1.0","53.6","7.2","45.8","7.1","(X)","(X)","0.2","0.4","85.7","3.0","14.0","3.0","(X)","(X)","0.2","0.4","94.6","2.5","5.2","2.5"
"0500000US17163","St. Clair County, Illinois","104803","2310","95493","2868","76493","3427","5503","1210","86388","2782","14390","2126","58580","2889","844","396","2755","927","55","94","9310","1630","81088","2977","576","411","80512","3017","66037","3175","10628","1921","64270","2865","7974","1288","23715","2465","17671","1943","0","190","8798","1431","8873","1676","48396","2982","410","332","36591","2748","11395","2048","38736","2442","166","172","35123","2395","3447","1188","(X)","(X)","91.1","1.6","73.0","2.6","5.3","1.1","82.4","1.8","13.7","2.0","55.9","2.4","0.8","0.4","2.6","0.9","0.1","0.1","8.9","1.6","77.4","2.3","0.5","0.4","76.8","2.3","63.0","2.7","10.1","1.8","61.3","2.5","7.6","1.3","22.6","2.3","(X)","(X)","0.0","0.8","49.8","6.9","50.2","6.9","(X)","(X)","0.8","0.7","75.6","3.9","23.5","3.8","(X)","(X)","0.4","0.4","90.7","2.9","8.9","3.0"
"0500000US17167","Sangamon County, Illinois","83006","1728","76429","1996","61907","2131","3417","784","70180","2119","10055","1583","51342","2221","810","388","2227","670","0","190","6577","1037","66864","2461","305","227","66559","2479","58425","2286","10030","1411","53210","2417","5875","1162","16142","2103","13231","1590","0","190","7767","1348","5464","1241","34227","2235","210","191","25770","1788","8247","1659","35548","1923","95","114","33022","1938","2431","712","(X)","(X)","92.1","1.3","74.6","2.3","4.1","0.9","84.5","1.8","12.1","1.8","61.9","2.6","1.0","0.5","2.7","0.8","0.0","0.2","7.9","1.3","80.6","2.5","0.4","0.3","80.2","2.5","70.4","2.5","12.1","1.6","64.1","2.7","7.1","1.4","19.4","2.5","(X)","(X)","0.0","1.1","58.7","7.8","41.3","7.8","(X)","(X)","0.6","0.6","75.3","4.1","24.1","4.0","(X)","(X)","0.3","0.3","92.9","2.0","6.8","2.0"
"0500000US17179","Tazewell County, Illinois","54123","1441","48285","1937","38882","1893","2300","579","43938","1969","6299","1362","32343","1735","674","284","1107","427","74","123","5838","1230","45794","1909","133","133","45661","1904","38811","1954","7523","1392","35972","1736","2407","638","8329","1171","6704","986","70","96","4016","814","2618","732","27163","1833","63","84","22606","1859","4494","978","20256","1439","0","190","19039","1401","1217","515","(X)","(X)","89.2","2.3","71.8","3.0","4.2","1.1","81.2","2.4","11.6","2.4","59.8","3.0","1.2","0.5","2.0","0.8","0.1","0.2","10.8","2.3","84.6","2.2","0.2","0.2","84.4","2.2","71.7","2.7","13.9","2.5","66.5","2.7","4.4","1.2","15.4","2.2","(X)","(X)","1.0","1.4","59.9","8.9","39.1","8.8","(X)","(X)","0.2","0.3","83.2","3.5","16.5","3.5","(X)","(X)","0.0","0.7","94.0","2.5","6.0","2.5"
"0500000US17183","Vermilion County, Illinois","30166","1113","24786","1381","19819","1335","1693","496","22249","1289","3849","827","12820","1038","368","203","554","291","0","190","5380","892","23077","1423","96","108","22981","1421","20420","1408","4478","946","14920","1208","4409","843","7089","1014","6306","956","40","69","3723","734","2543","700","15583","1419","42","72","11689","1421","3852","874","8277","1162","14","24","7569","1117","694","338","(X)","(X)","82.2","3.0","65.7","3.5","5.6","1.6","73.8","2.8","12.8","2.7","42.5","3.1","1.2","0.7","1.8","1.0","0.0","0.5","17.8","3.0","76.5","3.4","0.3","0.4","76.2","3.4","67.7","3.4","14.8","3.0","49.5","3.6","14.6","2.7","23.5","3.4","(X)","(X)","0.6","1.1","59.0","8.5","40.3","8.6","(X)","(X)","0.3","0.5","75.0","5.4","24.7","5.4","(X)","(X)","0.2","0.3","91.4","3.9","8.4","3.9"
"0500000US17197","Will County, Illinois","231647","2201","220388","2673","195847","3034","8008","1167","205737","3170","13910","1687","168772","3657","1598","536","5037","971","125","201","11259","1619","209503","3057","444","355","209059","3044","184830","3892","18367","1866","183663","3449","16956","1947","22144","2178","16872","1784","223","281","11333","1509","5316","1046","82361","3729","152","131","69735","3427","12474","2015","132414","3743","69","114","127991","3659","4354","926","(X)","(X)","95.1","0.7","84.5","1.0","3.5","0.5","88.8","1.0","6.0","0.7","72.9","1.4","0.7","0.2","2.2","0.4","0.1","0.1","4.9","0.7","90.4","0.9","0.2","0.2","90.2","1.0","79.8","1.5","7.9","0.8","79.3","1.2","7.3","0.8","9.6","0.9","(X)","(X)","1.3","1.6","67.2","5.5","31.5","5.4","(X)","(X)","0.2","0.2","84.7","2.3","15.1","2.3","(X)","(X)","0.1","0.1","96.7","0.7","3.3","0.7"
"0500000US17199","Williamson County, Illinois","27815","1041","22809","1672","15370","1573","944","428","20872","1709","4985","1075","13213","1432","421","332","622","316","0","190","5006","1309","21281","1667","85","105","21196","1663","19790","1727","6887","1216","12517","1581","2411","630","6534","1365","6151","1206","52","90","3066","742","3033","1039","14191","1254","0","190","11353","1316","2838","685","7473","1201","33","59","6777","1098","663","481","(X)","(X)","82.0","4.7","55.3","5.0","3.4","1.5","75.0","4.9","17.9","3.8","47.5","4.5","1.5","1.2","2.2","1.1","0.0","0.5","18.0","4.7","76.5","4.9","0.3","0.4","76.2","4.9","71.1","5.0","24.8","4.2","45.0","5.4","8.7","2.2","23.5","4.9","(X)","(X)","0.8","1.5","49.8","11.0","49.3","10.9","(X)","(X)","0.0","1.0","80.0","4.8","20.0","4.8","(X)","(X)","0.4","0.8","90.7","6.1","8.9","6.0"
"0500000US17201","Winnebago County, Illinois","114337","1684","104242","1967","83321","2530","5832","982","94465","2244","11986","2065","69583","2320","1546","555","1890","569","56","66","10095","1317","99409","2203","67","80","99342","2211","87429","2499","15773","1746","79400","2624","7237","1175","14928","1599","19089","1839","0","190","13644","1521","5445","1082","56497","2961","36","62","48779","2818","7682","1167","38751","2477","31","50","36919","2215","1801","853","(X)","(X)","91.2","1.1","72.9","2.1","5.1","0.9","82.6","1.4","10.5","1.8","60.9","1.9","1.4","0.5","1.7","0.5","0.0","0.1","8.8","1.1","86.9","1.4","0.1","0.1","86.9","1.4","76.5","1.7","13.8","1.5","69.4","2.0","6.3","1.0","13.1","1.4","(X)","(X)","0.0","0.8","71.5","4.7","28.5","4.7","(X)","(X)","0.1","0.1","86.3","2.0","13.6","2.0","(X)","(X)","0.1","0.1","95.3","2.1","4.6","2.1"
"0500000US18003","Allen County, Indiana","147638","1587","135591","2027","112854","2959","6674","1039","124098","2146","14371","1798","93921","2961","1426","487","2875","834","89","139","12047","1572","126649","2434","270","169","126379","2487","114631","2573","18433","1611","103686","2791","7181","963","20989","2050","21420","1972","93","92","13374","1659","7953","1343","74808","3604","93","96","64428","3265","10287","1690","51410","2577","84","98","48577","2593","2749","882","(X)","(X)","91.8","1.1","76.4","1.8","4.5","0.7","84.1","1.3","9.7","1.2","63.6","1.9","1.0","0.3","1.9","0.6","0.1","0.1","8.2","1.1","85.8","1.4","0.2","0.1","85.6","1.4","77.6","1.6","12.5","1.1","70.2","1.7","4.9","0.7","14.2","1.4","(X)","(X)","0.4","0.4","62.4","5.2","37.1","5.2","(X)","(X)","0.1","0.1","86.1","2.1","13.8","2.1","(X)","(X)","0.2","0.2","94.5","1.7","5.3","1.7"
"0500000US18005","Bartholomew County, Indiana","31891","1053","27993","1442","23669","1454","699","375","25602","1515","2411","767","20820","1455","432","344","840","448","0","198","3898","1055","26719","1472","56","95","26663","1466","24291","1491","4086","943","21030","1584","2583","643","5172","1135","3710","1029","0","198","1514","617","2196","969","15707","1603","56","95","12788","1652","2863","727","12474","1504","0","198","12361","1504","113","136","(X)","(X)","87.8","3.3","74.2","4.0","2.2","1.2","80.3","3.8","7.6","2.4","65.3","4.0","1.4","1.1","2.6","1.4","0.0","0.5","12.2","3.3","83.8","3.6","0.2","0.3","83.6","3.6","76.2","4.1","12.8","3.0","65.9","4.1","8.1","2.0","16.2","3.6","(X)","(X)","0.0","4.3","40.8","16.5","59.2","16.5","(X)","(X)","0.4","0.6","81.4","4.8","18.2","4.7","(X)","(X)","0.0","1.3","99.1","1.1","0.9","1.1"
"0500000US18011","Boone County, Indiana","24808","1211","23528","1333","22173","1327","911","438","22339","1282","324","338","18302","1225","0","198","377","222","0","198","1280","470","23267","1360","147","176","23120","1395","20274","1657","2168","626","19595","1458","2865","892","1541","551","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","94.8","1.9","89.4","2.9","3.7","1.7","90.0","2.5","1.3","1.3","73.8","4.0","0.0","0.7","1.5","0.9","0.0","0.7","5.2","1.9","93.8","2.3","0.6","0.7","93.2","2.5","81.7","4.6","8.7","2.5","79.0","3.7","11.5","3.6","6.2","2.3","(X)","(X)","N","N","N","N","N","N","(X)","(X)","N","N","N","N","N","N","(X)","(X)","N","N","N","N","N","N"
